name;review_text;review_rating;review_datetime_utc;label
Sekupang International Ferry Terminal;Dim place;2.0;04/12/2026 04:36;Negatif
Sekupang International Ferry Terminal;Bau, Kotor;1.0;03/30/2026 10:34:05;Negatif
Sekupang International Ferry Terminal;Bau, Kotor;1.0;03/30/2026 10:32:25;Negatif
Sekupang International Ferry Terminal;susah;1.0;03/30/2026 02:16:30;Negatif
Sekupang International Ferry Terminal;waste;1.0;03/18/2026 23:21:20;Negatif
Sekupang International Ferry Terminal;molor;1.0;03/17/2026 08:09:00;Negatif
Sekupang International Ferry Terminal;anak, lansia;1.0;03/08/2026 13:29;Negatif
Sekupang International Ferry Terminal;rokok;3.0;03/08/2026 13:29;Netral
Sekupang International Ferry Terminal;rokok;3.0;03/08/2026 13:29;Netral
Sekupang International Ferry Terminal;bau;1.0;02/27/2026 16:21:34;Negatif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;Nyaman, asri;5.0;12/23/2025 11:44:13;Positif
Sekupang International Ferry Terminal;Bagus ;5.0;12/23/2025 09:16:14;Positif
Sekupang International Ferry Terminal;bagus ;5.0;12/23/2025 08:16:43;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;Beautiful, sunset;5.0;12/23/2025 07:18:36;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;bersih;5.0;12/23/2025 06:35:14;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;nyaman, bersih,  Top ;5.0;12/23/2025 06:25:45;Positif
Sekupang International Ferry Terminal;Cocok;5.0;12/23/2025 06:22:24;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;bagus, cocok;5.0;12/23/2025 06:09:14;Positif
Sekupang International Ferry Terminal;nyaman ;5.0;12/23/2025 05:57:57;Positif
Sekupang International Ferry Terminal; bagus , bersih;5.0;12/23/2025 05:57:45;Positif
Sekupang International Ferry Terminal;bagus ;5.0;12/23/2025 05:55:31;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;indah, luas;5.0;12/23/2025 05:51:35;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;bagus , suka ;5.0;12/23/2025 05:45:19;Positif
Sekupang International Ferry Terminal;bagus , suka ;5.0;12/23/2025 05:43:34;Positif
Sekupang International Ferry Terminal;Terbaik;5.0;12/23/2025 05:42:57;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;Pretty,  nice ;5.0;12/23/2025 05:39:55;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;Bagus;5.0;12/23/2025 05:37:36;Positif
Sekupang International Ferry Terminal;Keren;5.0;12/23/2025 05:35:24;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;keren;5.0;12/23/2025 05:32:44;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;Baguss ;5.0;12/23/2025 05:29:17;Positif
Sekupang International Ferry Terminal;nyaman,  banyak  ;5.0;12/23/2025 05:28:44;Positif
Sekupang International Ferry Terminal;baik, rapi, ramah, informatif , memadai , bersih. nyaman;5.0;12/23/2025 05:28:29;Positif
Sekupang International Ferry Terminal;Keren;5.0;12/23/2025 05:26:28;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;MANTAPP;5.0;12/23/2025 05:24:26;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;Puas ;5.0;12/23/2025 05:23:01;Positif
Sekupang International Ferry Terminal; bagus;5.0;12/23/2025 05:22:19;Positif
Sekupang International Ferry Terminal;bagus , nyaman;5.0;12/23/2025 05:22:17;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;baik , cepat;5.0;12/23/2025 05:21:20;Positif
Sekupang International Ferry Terminal;adem , bagus;5.0;12/23/2025 05:21:08;Positif
Sekupang International Ferry Terminal;memukau;5.0;12/23/2025 05:20:23;Positif
Sekupang International Ferry Terminal;Excellent;5.0;12/23/2025 05:20:20;Positif
Sekupang International Ferry Terminal; baik, nyaman;5.0;12/23/2025 05:20:13;Positif
Sekupang International Ferry Terminal;nyaman, rapi. tertib, membantu, bersih. mudah;5.0;12/23/2025 05:19:14;Positif
Sekupang International Ferry Terminal;bagus, ramah, mantap;5.0;12/23/2025 05:19:11;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;baik;5.0;12/23/2025 05:18:10;Positif
Sekupang International Ferry Terminal;;5.0;;
Sekupang International Ferry Terminal;Mudah, Praktis;5.0;12/23/2025 05:16:42;Positif
Sekupang International Ferry Terminal;  terbaik;5.0;12/23/2025 05:15:53;Positif
Sekupang International Ferry Terminal;Clean, safe, efficient , satisfying;5.0;12/23/2025 05:15:41;Positif
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;Clean , simple  , helpful.;4.0;05/08/2026 04:05;Positif
Gold Coast International Ferry Terminal Bengkong;;4.0;;
Gold Coast International Ferry Terminal Bengkong;Lokasi ok ;5.0;05/04/2026 14:20;Positif
Gold Coast International Ferry Terminal Bengkong;Bersih , nyaman;5.0;05/02/2026 22:40;Positif
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;cepat , ramah;5.0;03/25/2026 08:00:29;Positif
Gold Coast International Ferry Terminal Bengkong; good.  Friendly;5.0;03/24/2026 14:06:31;Positif
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;;4.0;;
Gold Coast International Ferry Terminal Bengkong;dingin;5.0;03/12/2026 02:54;Positif
Gold Coast International Ferry Terminal Bengkong;terbaik, bagus;5.0;02/04/2026 15:47;Positif
Gold Coast International Ferry Terminal Bengkong;bagus, bersih, ramah , cepat, wangi;5.0;02/04/2026 04:34;Positif
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;great. clean, modern, , easy.  fast , hassle-free. better .;5.0;02/03/2026 04:06;Positif
Gold Coast International Ferry Terminal Bengkong;clean , well, organized. smooth , efficient. helpful , safe , comfortable. Great ;5.0;02/03/2026 04:05;Positif
Gold Coast International Ferry Terminal Bengkong;  asri,    ramah , bagus , ok.;5.0;02/03/2026 04:02;Positif
Gold Coast International Ferry Terminal Bengkong; pleasant  .   clean , comfortable, smooth , fast .;5.0;02/03/2026 03:59;Positif
Gold Coast International Ferry Terminal Bengkong;great. clean, modern, , easy.  fast , good , good . better .;5.0;02/03/2026 03:48;Positif
Gold Coast International Ferry Terminal Bengkong;great. clean, modern, , easy.  fast , good , good . better .;5.0;02/03/2026 03:46;Positif
Gold Coast International Ferry Terminal Bengkong;great. clean, modern, , easy.  fast , good , good . better .;5.0;02/03/2026 03:46;Positif
Gold Coast International Ferry Terminal Bengkong;best;5.0;02/03/2026 00:40;Positif
Gold Coast International Ferry Terminal Bengkong; arogan;1.0;01/30/2026 23:51:33;Negatif
Gold Coast International Ferry Terminal Bengkong;;4.0;;
Gold Coast International Ferry Terminal Bengkong;hassle-free, smooth;4.0;01/21/2026 07:29:40;Positif
Gold Coast International Ferry Terminal Bengkong;Nyaman ,  ruang-tunggu ,luas;5.0;01/11/2026 04:52;Positif
Gold Coast International Ferry Terminal Bengkong;Bersih. sepi.;5.0;01/08/2026 23:36;Positif
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;;4.0;;
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;;5.0;;
Gold Coast International Ferry Terminal Bengkong;best;3.0;11/29/2025 03:35:53;Positif
Gold Coast International Ferry Terminal Bengkong;;3.0;;
